Sample,C3,C4,C5,C6,C7,C8,PFOS,C3MDL,C4MDL,C5MDL,C6MDL,C7MDL,C8MDL,PFOSMDL,Units,Citation,config,C3err,C4err,C5err,C6err,C7err,C8err,PFOSerr
MPSC_20180711,0.0748,0.0904,0.5688,0.0074,0.0099,,0.1719,0.002,0.0026,0.0013,0.0021,0.0003,,0.0002,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
JPNB_20180712,0.0385,0.0151,0.0737,0.0061,0,,0.1233,0.002,0.0026,0.0013,0.0021,0.0003,,0.0002,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
JPSB_20180712,0.0384,0.021,0.0751,0.0047,0,,0.1235,0.002,0.0026,0.0013,0.0021,0.0003,,0.0002,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
QR01_20180710,0.0156,0.0261,0.0856,0.0035,0.0054,,0.1396,0.002,0.0026,0.0013,0.0021,0.0003,,0.0002,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
QR02_20180710,0.0316,0.0427,0.1488,0.0069,0.001,,0.2409,0.002,0.0026,0.0013,0.0021,0.0003,,0.0002,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
QR02A_20180710,0.0316,0.0382,0.1439,0.0027,0,,0.3102,0.002,0.0026,0.0013,0.0021,0.0003,,0.0002,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
QR03_20180710,0.0342,0.0403,0.1437,0.0064,0.003,,0.2271,0.002,0.0026,0.0013,0.0021,0.0003,,0.0002,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
QROBR_20180710,0.0319,0.0238,0.1069,0.0045,0,,0.1951,0.002,0.0026,0.0013,0.0021,0.0003,,0.0002,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
QR04_20180711,0.0113,0.0069,0.0616,0.0016,0,,0.184,0.002,0.0026,0.0013,0.0021,0.0003,,0.0002,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
QR05_20180711,0.0203,0.0164,0.087,0.0044,0.0019,,0.1642,0.002,0.0026,0.0013,0.0021,0.0003,,0.0002,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
QRFC_20180711,0.0156,0.0173,0.0794,0.004,0.0079,,0.1321,0.002,0.0026,0.0013,0.0021,0.0003,,0.0002,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
QR09_20180711,0.0168,0.0124,0.0644,0.0033,0.002,,0.1042,0.002,0.0026,0.0013,0.0021,0.0003,,0.0002,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
QRTRIB01_20180710,0.0181,0.0106,0.0645,0.0032,0,,0.1649,0.002,0.0026,0.0013,0.0021,0.0003,,0.0002,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
QRTRIB03_20180711,0.0042,0.0025,0.0738,0.0018,0,,0.2626,0.002,0.0026,0.0013,0.0021,0.0003,,0.0002,nM,"Ruyle et al., 2021",AFFF_impacted.yaml,0.1,0.1,0.1,0.1,0.1,0.1,0.1
